table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1995/96,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.21,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1995/96,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,7.02,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1995/96,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.91,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,13.7,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,10.94,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.17,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.52,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.59,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.67,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.82,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.68,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.74,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.62,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.48,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1996/97,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,7.45,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,7.15,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.48,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.09,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.14,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.14,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.55,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.05,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.44,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.7,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.05,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.77,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1997/98,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.56,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.64,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.98,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.03,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.82,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.52,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.99,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.9,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.96,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.48,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.04,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.58,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1998/99,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.66,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,9.96,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,9.5,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.7,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.42,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.35,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.18,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.24,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.2,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.39,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.34,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.45,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",1999/2000,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,0.35,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,0.29,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,1.43,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.2,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.95,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.85,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.2,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.93,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.84,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.64,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.47,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.63,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2000/01,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.01,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.2,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.21,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.52,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.67,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.86,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.07,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.99,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.78,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.55,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.2,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.1,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2001/02,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.28,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.33,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.22,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.17,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.1,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.77,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.75,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.07,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.29,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.31,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.54,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.78,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2002/03,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.71,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.25,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.81,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.96,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,2.78,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.12,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.56,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.18,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.15,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.62,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.34,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2003/04,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,10.27,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,15.44,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,20.68,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.05,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.73,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.52,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.62,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.62,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.84,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.02,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.07,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.11,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2004/05,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,3.75,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.29,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.04,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.32,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.95,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,4.82,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.4,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,5.96,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.5,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.87,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,7.1,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.98,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2005/06,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.66,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,17.96,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.83,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.17,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.55,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.99,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.57,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.24,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.19,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.14,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Oranges,All,United States,11.62,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.56,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2006/07,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.98,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2007/08,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Oranges,All,United States,7.84,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2007/08,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Oranges,All,United States,10.41,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2007/08,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Oranges,All,United States,8.73,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2007/08,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.14,dollars per box
"Table C-17--Oranges: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2007/08,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Oranges,All,United States,6.12,dollars per box
